Name,Price,Rating,Processor,RAM,Storage,Operating_System,Other_Spec,URL,Description
CHUWI,17490.0,4.1,Intel Celeron 12th Gen,8 GB,256 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/chuwi-intel-celeron-quad-core-12th-gen-n100-8-gb-256-gb-ssd-windows-11-home-gemibook-x-pro-laptop/p/itm95998eabab6f9?pid=COMGVBZBDZJXUZFC&lid=LSTCOMGVBZBDZJXUZFCFYZTJO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNz7uI5H4g94Bf4C4KE-YkJaTIY_ynL3V5lpQdcbOtScvw%3D%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Celeron 12th Gen, 8 GB, 256 GB SSD, Windows 11 Home"
Acer Aspire 7,55990.0,4.3,Intel Core i5 13th Gen,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96J7CE6ZPH&lid=LSTCOMH3G96J7CE6ZPHSFRCM4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMH3G96J7CE6ZPH.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i5 13th Gen, 16 GB, 512 GB SSD, Windows 11 Home"
Acer Predator Helios Neo 16,99990.0,4.4,Intel Core i7 14th Gen,16 GB,1 TB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/acer-predator-helios-neo-16-intel-core-i7-14th-gen-14700hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-phn16-72-77gz-gaming-laptop/p/itm34f68c296ce65?pid=COMGZKFB3ZTQGRT4&lid=LSTCOMGZKFB3ZTQGRT4YMVGPV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMGZKFB3ZTQGRT4.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i7 14th Gen, 16 GB, 1 TB SSD, Windows 11 Home"
ASUS TUF Gaming A15,56990.0,4.3,AMD Ryzen 7 7435H,16 GB,512 GB SSD,Windows 11 Home,['Gaming'],https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-fa566nfr-hn259w-laptop/p/itm10514ecd2a794?pid=COMHFT2NEWGYDWAV&lid=LSTCOMHFT2NEWGYDWAVPS8GCS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMHFT2NEWGYDWAV.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,"AMD Ryzen 7 7435H, 16 GB, 512 GB SSD, Windows 11 Home, Gaming"
Acer Aspire 3,21990.0,3.9,Intel Celeron,8 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itmbbfe217e40d59?pid=COMHFZYZFVD2MCAB&lid=LSTCOMHFZYZFVD2MCABTLQNKG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMHFZYZFVD2MCAB.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,"Intel Celeron, 8 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
"ASUS Vivobook 15, with Backlit Keyboard,",32990.0,4.3,Intel Core i3 12th Gen,8 GB,512 GB SSD,Unknown,Unknown,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj321ws-thin-light-laptop/p/itmbe5bbf6a5168b?pid=COMGT2ZXC24MFNFA&lid=LSTCOMGT2ZXC24MFNFAH8MFND&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMGT2ZXC24MFNFA.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,"Intel Core i3 12th Gen, 8 GB, 512 GB SSD"
Acer Aspire,44990.0,4.1,Intel Core i5 12th Gen,16 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/acer-aspire-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-al15-52h-thin-light-laptop/p/itmc262e2fa338ce?pid=COMH59E4SZYVDQUU&lid=LSTCOMH59E4SZYVDQUU1KQHXN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMH59E4SZYVDQUU.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 16 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
MSI,27990.0,4.8,Intel Core i3 12th Gen,8 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/msi-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-modern-14-c12mo-1401in-business-laptop/p/itm8820edd8b6c55?pid=COMH3YTFKTG4TG2B&lid=LSTCOMH3YTFKTG4TG2BDTGXSD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_33&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMH3YTFKTG4TG2B.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,"Intel Core i3 12th Gen, 8 GB, 512 GB SSD, Windows 11 Home"
ASUS Vivobook S 15,79990.0,4.5,Intel Core i9 13th Gen,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/asus-vivobook-s-15-intel-core-i9-13th-gen-13900h-16-gb-512-gb-ssd-windows-11-home-k5504vab-bn417ws-thin-light-laptop/p/itm0eb223e3c7544?pid=COMH3J9YUEFZSCF5&lid=LSTCOMH3J9YUEFZSCF5I3MRSV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_34&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMH3J9YUEFZSCF5.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,"Intel Core i9 13th Gen, 16 GB, 512 GB SSD, Windows 11 Home"
Infinix Y4 Max Series,43490.0,4.2,Intel Core i5 13th Gen,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/infinix-y4-max-series-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itmd28733993c713?pid=COMGWWBRSAFMWR3W&lid=LSTCOMGWWBRSAFMWR3WKB4J37&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_35&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMGWWBRSAFMWR3W.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,"Intel Core i5 13th Gen, 16 GB, 512 GB SSD, Windows 11 Home"
HP Omen,95990.0,4.5,AMD Ryzen 7 7840H,16 GB,1 TB SSD,Windows 11 Home,['NVIDIA GeForce RT...'],https://www.flipkart.com/hp-omen-amd-ryzen-7-octa-core-7840hs-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-16-xd0015ax-gaming-laptop/p/itmabad31c69922e?pid=COMH28U4QR7GUZHM&lid=LSTCOMH28U4QR7GUZHMKTPBNH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_36&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMH28U4QR7GUZHM.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,"AMD Ryzen 7 7840H, 16 GB, 1 TB SSD, Windows 11 Home, NVIDIA GeForce RT..."
Acer Aspire 3 Backlit,36990.0,4.0,AMD Ryzen 7 7730U,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/acer-aspire-3-backlit-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397XPF4Z3BMX&lid=LSTCOMH397XPF4Z3BMXL8O53G&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_39&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMH397XPF4Z3BMX.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,"AMD Ryzen 7 7730U, 16 GB, 512 GB SSD, Windows 11 Home"
Acer Aspire,43990.0,4.1,Intel Core i5 12th Gen,12 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/acer-aspire-intel-core-i5-12th-gen-12450h-12-gb-512-gb-ssd-windows-11-home-al15-52h-thin-light-laptop/p/itmc262e2fa338ce?pid=COMH59E4MRQZEJEH&lid=LSTCOMH59E4MRQZEJEHLHHDZI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_40&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMH59E4MRQZEJEH.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 12 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
