name,price,rating,url,description
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,"₹46,190",4.3,https://www.flipkart.com/hp-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5330tu-15-fd0111tu-thin-light-laptop/p/itm5b5f94f7b044c?pid=COMGXNZGJV3MEMWM&lid=LSTCOMGXNZGJV3MEMWMMNYA0K&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNyBFLmx-88z4fZLEb3gEc1N8rB70bNVCiCdgdy4lBudKfcUmN_6PwCReg_VTM4VLxo%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹17,490",4.1,https://www.flipkart.com/chuwi-intel-celeron-quad-core-12th-gen-n100-8-gb-256-gb-ssd-windows-11-home-gemibook-x-pro-laptop/p/itm95998eabab6f9?pid=COMGVBZBDZJXUZFC&lid=LSTCOMGVBZBDZJXUZFCFYZTJO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNz7uI5H4g94Bf4C4KE-YkJaTIY_ynL3V5lpQdcbOtScvw%3D%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,"₹55,990",4.3,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96J7CE6ZPH&lid=LSTCOMH3G96J7CE6ZPHSFRCM4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMH3G96J7CE6ZPH.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
Acer Predator Helios Neo 16 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Grap...,"₹99,990",4.4,https://www.flipkart.com/acer-predator-helios-neo-16-intel-core-i7-14th-gen-14700hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-phn16-72-77gz-gaming-laptop/p/itm34f68c296ce65?pid=COMGZKFB3ZTQGRT4&lid=LSTCOMGZKFB3ZTQGRT4YMVGPV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMGZKFB3ZTQGRT4.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹56,990",4.3,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-fa566nfr-hn259w-laptop/p/itm10514ecd2a794?pid=COMHFT2NEWGYDWAV&lid=LSTCOMHFT2NEWGYDWAVPS8GCS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMHFT2NEWGYDWAV.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,No description available
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,"₹21,990",3.9,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itmbbfe217e40d59?pid=COMHFZYZFVD2MCAB&lid=LSTCOMHFZYZFVD2MCABTLQNKG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMHFZYZFVD2MCAB.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,No description available
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹16,490",3.7,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-pro-laptop/p/itm5e1f327988402?pid=COMGQHMZWHRXFWET&lid=LSTCOMGQHMZWHRXFWETVNWSPG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_27&otracker=search&fm=organic&iid=en_A8adM97Dv_M0VlrX6-HscTPCnrW-_ZOL8MCzitPssKpxWRdOqKcnEG8NhZMp3j88yKKBI3x4Cvr4ome3ljUhjA%3D%3D&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,No description available
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,"₹44,990",4.3,https://www.flipkart.com/hp-backlit-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-15s-fy5002tu-thin-light-laptop/p/itm9046eaf5a4af9?pid=COMGZNSBS7Z959EW&lid=LSTCOMGZNSBS7Z959EWGCQAVA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_28&otracker=search&fm=organic&iid=en_A8adM97Dv_M0VlrX6-HscTPCnrW-_ZOL8MCzitPssKowWKnVmSMXPDxgyi6wN7sorWx4wLr3tmfyEUhKLVd5DQ%3D%3D&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,No description available
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...","₹32,990",4.3,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj321ws-thin-light-laptop/p/itmbe5bbf6a5168b?pid=COMGT2ZXC24MFNFA&lid=LSTCOMGT2ZXC24MFNFAH8MFND&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMGT2ZXC24MFNFA.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,No description available
Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,"₹44,990",4.1,https://www.flipkart.com/acer-aspire-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-al15-52h-thin-light-laptop/p/itmc262e2fa338ce?pid=COMH59E4SZYVDQUU&lid=LSTCOMH59E4SZYVDQUU1KQHXN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=368a34c7-2152-4fec-9c20-a6bd4723b87d.COMH59E4SZYVDQUU.SEARCH&ppt=None&ppn=None&ssid=7vg0hmnd5c0000001746639048242&qH=c06ea84a1e3dc3c6,No description available
